Month,Year,Rainfall,WPI
4,2012,47.5,107.9
5,2012,31.7,105.5
6,2012,122.4,107.2
7,2012,257.9,111.3
8,2012,262,117.8
9,2012,199.4,117.3
10,2012,58.7,117.8
11,2012,30.7,117.9
12,2012,11.7,121.2
1,2013,11.3,123.4
2,2013,40.1,122.9
3,2013,15.7,121.8
4,2013,30.4,121.4
5,2013,57.8,120.6
6,2013,221.1,126.1
7,2013,311.5,127.6
8,2013,258,126.5
9,2013,155.1,128.9
10,2013,129.4,121.2
11,2013,14,122.1
12,2013,6.7,123
1,2014,19.2,120.1
2,2014,27.4,118.9
3,2014,36.1,121
4,2014,22.2,119.2
5,2014,72.9,118.3
6,2014,92.8,119.8
7,2014,266.7,124.6
8,2014,234.6,121.7
9,2014,190.1,117.4
10,2014,60.2,114.2
11,2014,14.4,113
12,2014,10.7,113.7
1,2015,17.4,118.6
2,2015,21,119.3
3,2015,62,122.4
4,2015,69.4,121.4
5,2015,53.8,118.9
6,2015,188.9,118.3
7,2015,240.7,119.9
8,2015,204.1,120.4
9,2015,131.7,121.9
10,2015,42.9,123.5
11,2015,39.4,126.6
12,2015,15,129.2
1,2016,19.3,133.8
2,2016,22.8,135.9
3,2016,27.6,135.8
4,2016,37.4,135.2
5,2016,62.6,135.2
6,2016,147,136.6
7,2016,308.4,142.2
8,2016,239.4,139.3
9,2016,168.8,139.8
10,2016,76.1,138.6
11,2016,29.7,137.7
12,2016,14.9,134
1,2017,19,134.6
2,2017,22.6,135.6
3,2017,27.8,135.2
4,2017,37.9,135.5
5,2017,62.4,134.2
6,2017,171.9,132.6
7,2017,290.5,129.2
8,2017,228.3,127.7
9,2017,153,125.1
10,2017,76.3,123.7
11,2017,29.9,119.1
12,2017,15,117.9
1,2018,19.2,116.4
2,2018,20.1,117.3
3,2018,27.1,117.3
4,2018,40.2,118
5,2018,62.7,117.6
6,2018,155.7,121.5
7,2018,273.8,121.6
8,2018,240.5,123.2
9,2018,132.3,125.7
10,2018,165,129.3
11,2018,286.3,131.9
12,2018,254.3,139.2
1,2019,171.9,147.9
2,2019,77.2,158.9
3,2019,28.1,163.7
4,2019,14.1,171.3
5,2019,57.7,171.3
6,2019,112.9,174
7,2019,296.7,181.5
8,2019,299.3,184.8
9,2019,260.4,185.8
10,2019,86.9,183.6
11,2019,63.4,172.4
12,2019,46.9,175.6
1,2020,71,178.8
2,2020,48.5,167
3,2020,41,158.5
4,2020,36.1,155.4
5,2020,37.9,152
6,2020,145.9,148.4
7,2020,241.3,147.6
8,2020,212.8,146.9
9,2020,149.3,142.5
10,2020,65.2,137.9
11,2020,82.5,139.8
12,2020,72.9,140.5
1,2021,52.8,137.4
2,2021,26.1,135.4
3,2021,15.4,135.7
4,2021,9.5,139.9
5,2021,10.7,141.5
6,2021,94.4,142.6
7,2021,216.3,147.6
8,2021,212.4,153.6
9,2021,176.5,154.8
10,2021,76.3,151.6
11,2021,86.4,150.4
12,2021,85.3,154.2
1,2022,70.4,157.4
2,2022,49.4,162.4
3,2022,44.5,169.5
4,2022,42,181.1
5,2022,45.2,182.3
6,2022,171.8,178.3
7,2022,282.7,186.1
8,2022,270.8,192.4
9,2022,219.1,193.4
10,2022,90.4,186.1
11,2022,106.3,182.4
12,2022,102.9,186.6
1,2023,87.3,190.9
2,2023,61.4,193.1
3,2023,53.7,193.7
4,2023,49.5,189.8
5,2023,50.4,184.5
6,2023,185.8,181.9
7,2023,300.7,186
8,2023,286.7,186.9
9,2023,241.5,183.9
10,2023,105.7,183.5
